query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,Which state has the highest average cost for Heart Failure?,0.9181457884751146,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
1,How many hospitals have a Experience rating of Below?,1.1038400552956573,"""1098""","""1098""","""1098""","""1098""","""1098""","""999.9527""","""0.0""","""999.9992""","""10.9552""","""576.2509""","""1000.0"""
2,How many hospitals have a value of Higher for Heart Attack?,0.21977188989255456,"""The result is [DP]199[/DP].""","""The result is 188.65.""","""The result is 199.0.""","""The result is 190.97.""","""The result is 185.0.""","""The result is [DP]601.7145[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]418.0945[/DP].""","""The result is [DP]999.9992[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]740.9503[/DP]."""
3,How many hospitals have a quality of Worse for Heart Attack?,0.5226303807974494,"""24""","""24""","""24""","""24""","""24""","""84.0427""","""0.0""","""49.0358""","""0.0""","""329.8576""","""4.4554"""
4,How many hospitals have a quality of Average for Heart Failure?,0.794007125837763,"""The result is [DP]3141[/DP].""","""The result is 3139.58.""","""The result is 3141.0.""","""The result is 3135.58.""","""The result is 3153.0.""","""The result is [DP]995.499[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]848.0043[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
5,How many hospitals have a Mortality rating of Same?,0.5226303807974494,"""The result is [DP]2663[/DP].""","""The result is 2666.92.""","""The result is 2663.0.""","""The result is 2666.02.""","""The result is 2666.0.""","""The result is [DP]999.9877[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9996[/DP].""","""The result is [DP]999.996[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9978[/DP]."""
6,Which state has the highest average cost for Heart Failure?,0.21977188989255456,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
7,How many hospitals have a value of Higher for Heart Attack?,0.8617224173568258,"""The result is [DP]199[/DP].""","""The result is 199.35.""","""The result is 200.0.""","""The result is 200.48.""","""The result is 202.0.""","""The result is [DP]999.9856[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]215.962[/DP].""","""The result is [DP]68.8969[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]652.3166[/DP]."""
8,Which state has the highest average cost for Heart Failure?,0.9189598761607718,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
9,How many hospitals have a Timeliness rating of Above?,0.9189598761607718,"""The result is [DP]1275[/DP].""","""The result is 1276.44.""","""The result is 1277.0.""","""The result is 1282.62.""","""The result is 1274.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9649[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]606.9997[/DP].""","""The result is [DP]999.9968[/DP]."""
10,How many hospitals have a value of Unknown for Heart Attack?,1.350541224549904,"""The result is [DP]2506[/DP].""","""The result is 2505.79.""","""The result is 2505.0.""","""The result is 2509.13.""","""The result is 2507.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9981[/DP].""","""The result is [DP]132.9707[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9995[/DP]."""
11,Which state has the highest average cost for Heart Failure?,0.45188719028566016,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
12,Which state has the highest average cost for Pneumonia?,0.8993786248373329,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
13,How many hospitals are there in WA?,0.21977188989255456,"""The result is [DP]91[/DP].""","""The result is 88.24.""","""The result is 91.0.""","""The result is 106.86.""","""The result is 74.0.""","""The result is [DP]894.5326[/DP].""","""The result is [DP]574.4908[/DP].""","""The result is [DP]111.6775[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]614.6103[/DP].""","""The result is [DP]6.4894[/DP]."""
14,How many hospitals have a Experience rating of None?,1.1038400552956573,"""1340""","""1340""","""1340""","""1340""","""1340""","""999.9999""","""749.8096""","""999.9992""","""1000.0""","""0.0""","""999.9999"""
15,How many hospitals have a Effectiveness rating of None?,1.1038400552956573,"""938""","""938""","""938""","""938""","""938""","""76.8054""","""nan""","""978.2908""","""9.4426""","""0.0""","""521.8971"""
16,How many hospitals have a quality of Better for Hip Knee?,0.45188719028566016,"""The result is [DP]68[/DP].""","""The result is 67.25.""","""The result is 67.0.""","""The result is 77.79.""","""The result is 68.0.""","""The result is [DP]1.2055[/DP].""","""The result is [DP]833.6833[/DP].""","""The result is [DP]568.9349[/DP].""","""The result is [DP]999.531[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]222.3728[/DP]."""
17,Which state has the highest average cost for Heart Attack?,0.5226303807974494,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
18,How many hospitals have a Imaging rating of Below?,0.9145856197269706,"""The result is [DP]431[/DP].""","""The result is 431.3.""","""The result is 430.0.""","""The result is 429.14.""","""The result is 436.0.""","""The result is [DP]919.2839[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]967.2139[/DP].""","""The result is [DP]5.0237[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]165.4312[/DP]."""
