query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,Which state has the highest average cost for Heart Failure?,0.4,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
1,How many hospitals have a Experience rating of Below?,1.3,"""The result is [DP]1070[/DP].""","""The result is 1069.4.""","""The result is 1070.0.""","""The result is 1069.22.""","""The result is 1067.0.""","""The result is [DP]999.9998[/DP].""","""The result is [DP]882.5361[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]14.8038[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9835[/DP]."""
2,How many hospitals have a value of Higher for Heart Attack?,1.4,"""The result is [DP]199[/DP].""","""The result is 200.0.""","""The result is 199.0.""","""The result is 201.64.""","""The result is 204.0.""","""The result is [DP]673.8282[/DP].""","""The result is [DP]887.2646[/DP].""","""The result is [DP]49.8703[/DP].""","""The result is [DP]452.0782[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]783.4547[/DP]."""
3,How many hospitals have a quality of Worse for Heart Attack?,1.5,"""The result is [DP]24[/DP].""","""The result is 22.53.""","""The result is 24.0.""","""The result is 21.5.""","""The result is 25.0.""","""The result is [DP]0.0032[/DP].""","""The result is [DP]955.4337[/DP].""","""The result is [DP]78.4013[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]2.5665[/DP]."""
4,How many hospitals have a quality of Average for Heart Failure?,0.4,"""The result is [DP]3141[/DP].""","""The result is 3139.98.""","""The result is 3141.0.""","""The result is 3126.18.""","""The result is 3140.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9988[/DP].""","""The result is [DP]999.9566[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
5,How many hospitals have a Mortality rating of Same?,0.5,"""The result is [DP]2663[/DP].""","""The result is 2663.04.""","""The result is 2668.0.""","""The result is 2666.64.""","""The result is 2654.0.""","""The result is [DP]8.2067[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9827[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1000.0[/DP]."""
6,Which state has the highest average cost for Heart Failure?,0.8,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
7,How many hospitals have a value of Higher for Heart Attack?,0.1,"""The result is [DP]199[/DP].""","""The result is 208.85.""","""The result is 199.0.""","""The result is 209.66.""","""The result is 305.0.""","""The result is [DP]888.0315[/DP].""","""The result is [DP]585.1181[/DP].""","""The result is [DP]691.1115[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]832.511[/DP]."""
8,Which state has the highest average cost for Heart Failure?,1.2,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
9,How many hospitals have a Timeliness rating of Above?,1.8,"""The result is [DP]1255[/DP].""","""The result is 1254.93.""","""The result is 1255.0.""","""The result is 1256.86.""","""The result is 1255.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]558.1431[/DP].""","""The result is [DP]999.9919[/DP].""","""The result is [DP]999.8691[/DP].""","""The result is [DP]735.3143[/DP].""","""The result is [DP]999.992[/DP]."""
10,How many hospitals have a value of Unknown for Heart Attack?,0.1,"""The result is [DP]2506[/DP].""","""The result is 2487.01.""","""The result is 2506.0.""","""The result is 2416.41.""","""The result is 2547.0.""","""The result is [DP]999.9997[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9972[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]872.5628[/DP].""","""The result is [DP]999.9989[/DP]."""
11,Which state has the highest average cost for Heart Failure?,0.3,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
12,Which state has the highest average cost for Pneumonia?,0.3,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
13,How many hospitals are there in WA?,0.1,"""The result is [DP]91[/DP].""","""The result is 81.5.""","""The result is 91.0.""","""The result is 109.27.""","""The result is 15.0.""","""The result is [DP]230.2001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]50.9898[/DP].""","""The result is [DP]44.8742[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]10.3495[/DP]."""
14,How many hospitals have a Experience rating of None?,0.3,"""1340""","""1340""","""1340""","""1340""","""1340""","""1000.0""","""nan""","""999.9999""","""777.337""","""nan""","""999.9986"""
15,How many hospitals have a Effectiveness rating of None?,1.8,"""938""","""938""","""938""","""938""","""938""","""999.9951""","""nan""","""956.2369""","""3.9262""","""0.0""","""950.0918"""
