query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,Which state has the highest average cost for Heart Failure?,0.25312319302722175,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
1,How many hospitals have a Experience rating of Below?,0.25312319302722175,"""The result is [DP]1070[/DP].""","""The result is 1069.42.""","""The result is 1069.0.""","""The result is 1044.44.""","""The result is 1102.0.""","""The result is [DP]999.9778[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9969[/DP]."""
2,How many hospitals have a value of Higher for Heart Attack?,0.5226303807974494,"""The result is [DP]199[/DP].""","""The result is 201.32.""","""The result is 200.0.""","""The result is 201.96.""","""The result is 193.0.""","""The result is [DP]998.5956[/DP].""","""The result is [DP]774.8548[/DP].""","""The result is [DP]672.604[/DP].""","""The result is [DP]999.8838[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]285.5897[/DP]."""
3,How many hospitals have a quality of Worse for Heart Attack?,0.5226303807974494,"""The result is [DP]24[/DP].""","""The result is 21.55.""","""The result is 22.0.""","""The result is 31.33.""","""The result is 27.0.""","""The result is [DP]0.1079[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]20.0518[/DP].""","""The result is [DP]15.2032[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]2.67[/DP]."""
4,How many hospitals have a quality of Average for Heart Failure?,0.1,"""The result is [DP]3141[/DP].""","""The result is 3143.21.""","""The result is 3141.0.""","""The result is 3107.03.""","""The result is 3165.0.""","""The result is [DP]999.9969[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9986[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]461.0116[/DP].""","""The result is [DP]999.9973[/DP]."""
5,How many hospitals have a Mortality rating of Same?,1.350541224549904,"""The result is [DP]2663[/DP].""","""The result is 2665.81.""","""The result is 2662.0.""","""The result is 2666.21.""","""The result is 2662.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9961[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9998[/DP]."""
6,Which state has the highest average cost for Heart Failure?,1.1038400552956573,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
7,How many hospitals have a value of Higher for Heart Attack?,1.1038400552956573,"""The result is [DP]199[/DP].""","""The result is 197.37.""","""The result is 198.0.""","""The result is 208.43.""","""The result is 205.0.""","""The result is [DP]3.3485[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]414.3797[/DP].""","""The result is [DP]207.3121[/DP].""","""The result is [DP]582.8783[/DP].""","""The result is [DP]165.8398[/DP]."""
8,Which state has the highest average cost for Heart Failure?,0.5226303807974494,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
9,How many hospitals have a Timeliness rating of Above?,1.0368546195518356,"""The result is [DP]1275[/DP].""","""The result is 1274.03.""","""The result is 1275.0.""","""The result is 1276.98.""","""The result is 1273.0.""","""The result is [DP]999.9999[/DP].""","""The result is [DP]744.8904[/DP].""","""The result is [DP]999.9993[/DP].""","""The result is [DP]821.4134[/DP].""","""The result is [DP]905.1009[/DP].""","""The result is [DP]999.9987[/DP]."""
10,How many hospitals have a value of Unknown for Heart Attack?,0.45188719028566016,"""The result is [DP]2506[/DP].""","""The result is 2502.76.""","""The result is 2507.0.""","""The result is 2506.02.""","""The result is 2515.0.""","""The result is [DP]999.0467[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9987[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9987[/DP]."""
11,Which state has the highest average cost for Heart Failure?,0.8993786248373329,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
12,Which state has the highest average cost for Pneumonia?,0.45188719028566016,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
13,How many hospitals are there in WA?,0.21977188989255456,"""The result is [DP]91[/DP].""","""The result is 84.91.""","""The result is 91.0.""","""The result is 92.22.""","""The result is 84.0.""","""The result is [DP]999.7938[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]325.9058[/DP].""","""The result is [DP]999.9986[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]467.8581[/DP]."""
14,How many hospitals have a Experience rating of None?,0.918142078633442,"""1340""","""1340""","""1340""","""1340""","""1340""","""991.1691""","""0.0""","""999.9987""","""189.1055""","""781.6859""","""999.9999"""
15,How many hospitals have a Effectiveness rating of None?,0.23211822891717815,"""938""","""938""","""938""","""938""","""938""","""103.1453""","""nan""","""916.0251""","""0.0011""","""nan""","""470.7096"""
16,How many hospitals have a quality of Better for Hip Knee?,0.9181457884751146,"""The result is [DP]68[/DP].""","""The result is 68.04.""","""The result is 68.0.""","""The result is 61.53.""","""The result is 65.0.""","""The result is [DP]999.436[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]2.8756[/DP].""","""The result is [DP]771.2218[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]165.249[/DP]."""
17,Which state has the highest average cost for Heart Attack?,0.45188719028566016,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
18,How many hospitals have a Imaging rating of Below?,0.918142078633442,"""The result is [DP]432[/DP].""","""The result is 431.7.""","""The result is 430.0.""","""The result is 434.25.""","""The result is 441.0.""","""The result is [DP]806.8288[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]353.003[/DP].""","""The result is [DP]999.9928[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]894.6752[/DP]."""
