query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,Which state has the highest average cost for Heart Failure?,0.3,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
1,How many hospitals have a Experience rating of Below?,1.9,"""The result is [DP]1070[/DP].""","""The result is 1070.66.""","""The result is 1045.0.""","""The result is 1070.3.""","""The result is 1070.0.""","""The result is [DP]999.9999[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9977[/DP].""","""The result is [DP]999.9986[/DP].""","""The result is [DP]962.5193[/DP].""","""The result is [DP]999.9998[/DP]."""
2,How many hospitals have a value of Higher for Heart Attack?,0.7,"""The result is [DP]199[/DP].""","""The result is 200.52.""","""The result is 199.0.""","""The result is 192.63.""","""The result is 200.0.""","""The result is [DP]896.8292[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]5.3457[/DP].""","""The result is [DP]0.0015[/DP].""","""The result is [DP]489.0834[/DP].""","""The result is [DP]127.1122[/DP]."""
3,How many hospitals have a quality of Worse for Heart Attack?,1.3,"""The result is [DP]24[/DP].""","""The result is 24.07.""","""The result is 25.0.""","""The result is 31.79.""","""The result is 21.0.""","""The result is [DP]18.0533[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]2.3673[/DP].""","""The result is [DP]997.6971[/DP].""","""The result is [DP]726.5611[/DP].""","""The result is [DP]2.7836[/DP]."""
4,How many hospitals have a quality of Average for Heart Failure?,1.6,"""The result is [DP]3027[/DP].""","""The result is 3026.83.""","""The result is 3021.0.""","""The result is 3029.83.""","""The result is 3028.0.""","""The result is [DP]997.745[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]568.3676[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9969[/DP]."""
5,How many hospitals have a Mortality rating of Same?,1.4,"""The result is [DP]2663[/DP].""","""The result is 2663.25.""","""The result is 2658.0.""","""The result is 2659.37.""","""The result is 2663.0.""","""The result is [DP]997.5609[/DP].""","""The result is [DP]581.4155[/DP].""","""The result is [DP]999.9983[/DP].""","""The result is [DP]25.8198[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP]."""
6,Which state has the highest average cost for Heart Failure?,1.7,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
7,How many hospitals have a value of Higher for Heart Attack?,1.0,"""The result is [DP]199[/DP].""","""The result is 197.48.""","""The result is 200.0.""","""The result is 198.26.""","""The result is 203.0.""","""The result is [DP]989.433[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]56.0828[/DP].""","""The result is [DP]0.0057[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]7.5467[/DP]."""
8,Which state has the highest average cost for Heart Failure?,0.1,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
9,How many hospitals have a Timeliness rating of Above?,1.8,"""The result is [DP]1275[/DP].""","""The result is 1275.4.""","""The result is 1273.0.""","""The result is 1272.64.""","""The result is 1276.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]298.3313[/DP].""","""The result is [DP]999.9993[/DP].""","""The result is [DP]999.9817[/DP].""","""The result is [DP]89.0784[/DP].""","""The result is [DP]999.9995[/DP]."""
10,How many hospitals have a value of Unknown for Heart Attack?,1.4,"""The result is [DP]2506[/DP].""","""The result is 2507.23.""","""The result is 2509.0.""","""The result is 2504.27.""","""The result is 2506.0.""","""The result is [DP]999.9548[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]999.926[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
11,Which state has the highest average cost for Heart Failure?,0.7,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
12,Which state has the highest average cost for Pneumonia?,1.2,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
13,How many hospitals are there in WA?,0.1,"""The result is [DP]91[/DP].""","""The result is 62.03.""","""The result is 90.0.""","""The result is 0.""","""The result is 85.0.""","""The result is [DP]0.0018[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]45.0094[/DP].""","""The result is [DP]0.0007[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]201.8184[/DP]."""
14,How many hospitals have a Experience rating of None?,1.7,"""1340""","""1340""","""1340""","""1340""","""1340""","""1000.0""","""nan""","""999.9984""","""999.9942""","""0.0""","""999.972"""
15,How many hospitals have a Effectiveness rating of None?,0.9,"""938""","""938""","""938""","""938""","""938""","""994.7699""","""nan""","""992.1492""","""999.9995""","""0.0""","""996.3721"""
16,How many hospitals have a quality of Better for Hip Knee?,0.8,"""68""","""68""","""68""","""68""","""68""","""0.0033""","""465.6861""","""173.9718""","""385.5089""","""nan""","""4.342"""
17,Which state has the highest average cost for Heart Attack?,0.5,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
18,How many hospitals have a Imaging rating of Below?,0.6,"""The result is [DP]432[/DP].""","""The result is 430.0.""","""The result is 432.0.""","""The result is 426.42.""","""The result is 425.0.""","""The result is [DP]0.869[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]976.1859[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]948.2102[/DP]."""
19,How many hospitals are there in FL?,1.4,"""The result is [DP]184[/DP].""","""The result is 183.95.""","""The result is 181.0.""","""The result is 182.88.""","""The result is 182.0.""","""The result is [DP]858.3932[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]74.6112[/DP].""","""The result is [DP]860.9475[/DP].""","""The result is [DP]343.1285[/DP].""","""The result is [DP]19.858[/DP]."""
20,Which state has the highest average cost for Pneumonia?,0.8,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
21,Which state has the highest average cost for Pneumonia?,0.2,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
22,Which state has the highest average cost for Heart Attack?,0.7,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
23,How many hospitals have a Experience rating of None?,0.3,"""1340""","""1340""","""1340""","""1340""","""1340""","""999.9995""","""558.7779""","""999.997""","""1000.0""","""nan""","""1000.0"""
24,How many hospitals have a Imaging rating of Below?,1.0,"""432""","""432""","""432""","""432""","""432""","""689.2845""","""nan""","""456.4714""","""1000.0""","""nan""","""22.9485"""
25,How many hospitals have a quality of Better for Pneumonia?,1.1,"""The result is [DP]219[/DP].""","""The result is 218.29.""","""The result is 219.0.""","""The result is 222.41.""","""The result is 212.0.""","""The result is [DP]494.3186[/DP].""","""The result is [DP]892.663[/DP].""","""The result is [DP]66.7972[/DP].""","""The result is [DP]983.0667[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]537.204[/DP]."""
26,What is the average cost for Pneumonia procedures?,1.6,"""The result is [DP]14625.66[/DP].""","""The result is 14625.7.""","""The result is 14624.66.""","""The result is 14626.24.""","""The result is 14620.66.""","""The result is [DP]999.9788[/DP].""","""The result is [DP]500.9623[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9994[/DP]."""
27,What is the average cost for Heart Attack procedures?,0.5,"""The result is [DP]11360.98[/DP].""","""The result is 11353.51.""","""The result is 11360.98.""","""The result is 11380.69.""","""The result is 11348.98.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9997[/DP].""","""The result is [DP]915.5804[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9997[/DP]."""
28,How many hospitals have a Safety rating of None?,0.9,"""2142""","""2142""","""2142""","""2142""","""2142""","""999.9889""","""nan""","""999.9972""","""999.9921""","""0.0""","""999.9996"""
29,How many hospitals have a Safety rating of Below?,1.2,"""901""","""901""","""901""","""901""","""901""","""332.0286""","""nan""","""350.2099""","""999.2046""","""0.0""","""192.158"""
30,What is the average cost for Heart Attack procedures?,0.6,"""The result is [DP]11360.98[/DP].""","""The result is 11360.74.""","""The result is 11359.98.""","""The result is 11363.5.""","""The result is 11366.98.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]999.9998[/DP].""","""The result is [DP]558.3175[/DP].""","""The result is [DP]999.9989[/DP]."""
31,How many hospitals have a Experience rating of Below?,1.6,"""The result is [DP]1070[/DP].""","""The result is 1070.01.""","""The result is 1070.0.""","""The result is 1067.5.""","""The result is 1072.0.""","""The result is [DP]999.9956[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]999.9999[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]1000.0[/DP]."""
32,How many hospitals have a value of Unknown for Heart Failure?,1.7,"""The result is [DP]1300[/DP].""","""The result is 1300.89.""","""The result is 1298.0.""","""The result is 1300.36.""","""The result is 1297.0.""","""The result is [DP]999.9949[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9956[/DP].""","""The result is [DP]999.9895[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9986[/DP]."""
33,How many hospitals have a value of Lower for Hip Knee?,1.4,"""The result is [DP]1027[/DP].""","""The result is 1027.89.""","""The result is 1028.0.""","""The result is 1029.79.""","""The result is 1023.0.""","""The result is [DP]998.9826[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9994[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9955[/DP]."""
34,What is the average cost for Heart Attack procedures?,2.0,"""The result is [DP]11360.98[/DP].""","""The result is 11361.44.""","""The result is 11361.98.""","""The result is 11363.34.""","""The result is 11357.98.""","""The result is [DP]999.9997[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9996[/DP].""","""The result is [DP]999.4633[/DP].""","""The result is [DP]602.0597[/DP].""","""The result is [DP]999.9896[/DP]."""
35,Which state has the highest average cost for Pneumonia?,0.5,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
36,How many hospitals have a Effectiveness rating of None?,0.7,"""The result is [DP]918[/DP].""","""The result is 916.9.""","""The result is 918.0.""","""The result is 927.81.""","""The result is 916.0.""","""The result is [DP]110.3514[/DP].""","""The result is [DP]191.3218[/DP].""","""The result is [DP]951.0837[/DP].""","""The result is [DP]3.5859[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]793.6035[/DP]."""
37,How many hospitals have a Timeliness rating of Above?,1.8,"""The result is [DP]1275[/DP].""","""The result is 1274.33.""","""The result is 1278.0.""","""The result is 1279.6.""","""The result is 1279.0.""","""The result is [DP]739.5768[/DP].""","""The result is [DP]814.4879[/DP].""","""The result is [DP]999.9988[/DP].""","""The result is [DP]999.9845[/DP].""","""The result is [DP]661.8228[/DP].""","""The result is [DP]999.9879[/DP]."""
38,Which state has the highest average cost for Pneumonia?,1.2,"""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ""","""NJ"""
39,Which state has the highest average cost for Hip Knee?,1.6,"""MA""","""MA""","""MA""","""MA""","""MA""","""MA""","""MA""","""MA""","""MA""","""MA""","""MA"""
