query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,How many patients have been diagnosed with Major Depressive Disorder?,0.794007125837763,"""The result is [DP]125[/DP].""","""The result is 124.97.""","""The result is 121.0.""","""The result is 133.7.""","""The result is 121.0.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]12.455[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]778.7602[/DP]."""
1,What is the average mood score of patients with Major Depressive Disorder?,0.25312319302722175,"""The result is [DP]5.42[/DP].""","""The result is 4.44.""","""The result is 5.42.""","""The result is 17.99.""","""The result is 9.42.""","""The result is [DP]13.7379[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]5.798[/DP].""","""The result is [DP]999.9937[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.7814[/DP]."""
2,What is the average treatment duration for Major Depressive Disorder?,0.21977188989255456,"""The result is [DP]12.02[/DP].""","""The result is 12.8.""","""The result is 12.02.""","""The result is 4.61.""","""The result is 0.""","""The result is [DP]4.6992[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]7.2611[/DP].""","""The result is [DP]804.4678[/DP].""","""The result is [DP]869.3873[/DP].""","""The result is [DP]78.1337[/DP]."""
3,What therapy types are used for treating Major Depressive Disorder?,0.8993786248373329,"""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']"""
4,What percentage of Major Depressive Disorder patients showed improvement?,0.25312319302722175,"""The result is [DP]25.6[/DP].""","""The result is 24.53.""","""The result is 25.6.""","""The result is 49.31.""","""The result is 17.6.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]4.827[/DP].""","""The result is [DP]919.0905[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]437.5133[/DP]."""
5,How many patients have been diagnosed with Panic Disorder?,0.7715746304029494,"""The result is [DP]116[/DP].""","""The result is 116.96.""","""The result is 114.0.""","""The result is 129.24.""","""The result is 119.0.""","""The result is [DP]143.2961[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]393.5018[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]588.4602[/DP]."""
6,What is the average mood score of patients with Panic Disorder?,0.18273699254356746,"""The result is [DP]5.64[/DP].""","""The result is 5.93.""","""The result is 5.64.""","""The result is 0.""","""The result is 14.64.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]28.5608[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1.2924[/DP]."""
7,What is the average treatment duration for Panic Disorder?,0.8617224173568258,"""The result is [DP]12.01[/DP].""","""The result is 11.47.""","""The result is 12.01.""","""The result is 20.98.""","""The result is 14.01.""","""The result is [DP]0.0536[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]19.8839[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]981.6306[/DP].""","""The result is [DP]8.2097[/DP]."""
8,What therapy types are used for treating Panic Disorder?,0.9189598761607718,"""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']"""
9,What percentage of Panic Disorder patients showed improvement?,0.7715746304029494,"""The result is [DP]35.34[/DP].""","""The result is 33.68.""","""The result is 36.34.""","""The result is 26.75.""","""The result is 38.34.""","""The result is [DP]0.1084[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]176.2922[/DP].""","""The result is [DP]997.6579[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]395.8446[/DP]."""
10,How many patients have been diagnosed with Generalized Anxiety?,1.350541224549904,"""The result is [DP]135[/DP].""","""The result is 135.07.""","""The result is 138.0.""","""The result is 132.58.""","""The result is 135.0.""","""The result is [DP]26.075[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]144.4648[/DP].""","""The result is [DP]0.0387[/DP].""","""The result is [DP]663.361[/DP].""","""The result is [DP]852.9593[/DP]."""
11,What is the average mood score of patients with Generalized Anxiety?,0.4216476246561033,"""The result is [DP]5.36[/DP].""","""The result is 4.03.""","""The result is 5.36.""","""The result is 17.31.""","""The result is 0.""","""The result is [DP]427.4002[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1.2272[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]2.7613[/DP]."""
12,What is the average treatment duration for Generalized Anxiety?,1.350541224549904,"""The result is [DP]12.24[/DP].""","""The result is 12.01.""","""The result is 11.24.""","""The result is 10.48.""","""The result is 14.24.""","""The result is [DP]5.444[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]25.0911[/DP].""","""The result is [DP]0.0019[/DP].""","""The result is [DP]894.5766[/DP].""","""The result is [DP]3.7884[/DP]."""
