query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,How many patients have been diagnosed with Major Depressive Disorder?,0.6,"""The result is [DP]125[/DP].""","""The result is 123.58.""","""The result is 125.0.""","""The result is 121.1.""","""The result is 118.0.""","""The result is [DP]9.1158[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]415.3249[/DP].""","""The result is [DP]8.1817[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]316.7507[/DP]."""
1,What is the average mood score of patients with Major Depressive Disorder?,1.7,"""The result is [DP]5.42[/DP].""","""The result is 4.84.""","""The result is 5.42.""","""The result is 1.44.""","""The result is 2.42.""","""The result is [DP]0.0436[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]4.5706[/DP].""","""The result is [DP]0.0155[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]1.8349[/DP]."""
2,What is the average treatment duration for Major Depressive Disorder?,1.6,"""The result is [DP]12.02[/DP].""","""The result is 10.37.""","""The result is 12.02.""","""The result is 10.25.""","""The result is 11.02.""","""The result is [DP]998.9937[/DP].""","""The result is [DP]773.1367[/DP].""","""The result is [DP]41.608[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]204.65[/DP].""","""The result is [DP]0.3708[/DP]."""
3,What therapy types are used for treating Major Depressive Disorder?,0.9,"""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']"""
4,What percentage of Major Depressive Disorder patients showed improvement?,1.0,"""The result is [DP]25.6[/DP].""","""The result is 25.87.""","""The result is 25.6.""","""The result is 32.33.""","""The result is 33.6.""","""The result is [DP]0.2284[/DP].""","""The result is [DP]694.3689[/DP].""","""The result is [DP]124.7786[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]405.5439[/DP]."""
5,How many patients have been diagnosed with Panic Disorder?,1.2,"""The result is [DP]116[/DP].""","""The result is 115.47.""","""The result is 116.0.""","""The result is 110.49.""","""The result is 100.0.""","""The result is [DP]999.2887[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]317.5441[/DP].""","""The result is [DP]229.262[/DP].""","""The result is [DP]453.6535[/DP].""","""The result is [DP]47.4962[/DP]."""
6,What is the average mood score of patients with Panic Disorder?,1.4,"""The result is [DP]5.64[/DP].""","""The result is 5.19.""","""The result is 8.64.""","""The result is 7.25.""","""The result is 5.64.""","""The result is [DP]350.3159[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]6.3858[/DP].""","""The result is [DP]790.3631[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]2.9494[/DP]."""
7,What is the average treatment duration for Panic Disorder?,0.8,"""The result is [DP]12.01[/DP].""","""The result is 12.25.""","""The result is 15.01.""","""The result is 14.07.""","""The result is 11.01.""","""The result is [DP]999.4526[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]7.3251[/DP].""","""The result is [DP]240.2353[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]8.7123[/DP]."""
8,What therapy types are used for treating Panic Disorder?,1.7,"""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']"""
9,What percentage of Panic Disorder patients showed improvement?,0.5,"""The result is [DP]35.34[/DP].""","""The result is 41.98.""","""The result is 35.34.""","""The result is 40.71.""","""The result is 51.34.""","""The result is [DP]999.4381[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]31.6729[/DP].""","""The result is [DP]999.9475[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]131.7736[/DP]."""
