query_id,query,epsilon,latency_total,latency_llm,latency_rl,latency_perturb,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,How many patients have been diagnosed with Major Depressive Disorder?,1.1038400552956573,1.9392731189727783,1.255300521850586,0.0010023117065429688,0.0010068416595458984,"""The result is [DP]125[/DP].""","""The result is 124.6.""","""The result is 131.0.""","""The result is 123.22.""","""The result is 124.0.""","""The result is [DP]236.1342[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]168.9207[/DP].""","""The result is [DP]993.7625[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]386.5541[/DP]."""
1,What is the average mood score of patients with Major Depressive Disorder?,0.4216476246561033,2.5587050914764404,1.7094802856445312,0.0,0.0,"""The result is [DP]5.42[/DP].""","""The result is 5.29.""","""The result is 5.42.""","""The result is 3.37.""","""The result is 7.42.""","""The result is [DP]22.9169[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]3.2485[/DP].""","""The result is [DP]995.0863[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.2197[/DP]."""
2,What is the average treatment duration for Major Depressive Disorder?,0.4216476246561033,1.5643565654754639,0.7973480224609375,0.0,0.0011105537414550781,"""The result is [DP]12.02[/DP].""","""The result is 11.7.""","""The result is 13.02.""","""The result is 22.38.""","""The result is 42.02.""","""The result is [DP]0.0595[/DP].""","""The result is [DP]384.5469[/DP].""","""The result is [DP]2.1891[/DP].""","""The result is [DP]0.2973[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]351.1322[/DP]."""
3,What therapy types are used for treating Major Depressive Disorder?,0.5226303807974494,1.7978508472442627,0.9337356090545654,0.0,0.0,"""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Mindfulness-Based Therapy'\n 'Cognitive Behavioral Therapy' 'Dialectical Behavioral Therapy']"""
4,What percentage of Major Depressive Disorder patients showed improvement?,1.350541224549904,2.2911183834075928,1.3242206573486328,0.0,0.0,"""The result is [DP]25.6[/DP].""","""The result is 26.55.""","""The result is 27.6.""","""The result is 26.56.""","""The result is 27.6.""","""The result is [DP]0.5027[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]337.191[/DP].""","""The result is [DP]955.4645[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]197.601[/DP]."""
5,How many patients have been diagnosed with Panic Disorder?,0.794007125837763,4.116676092147827,1.1066372394561768,0.0,0.0,"""The result is [DP]116[/DP].""","""The result is 117.32.""","""The result is 114.0.""","""The result is 122.62.""","""The result is 114.0.""","""The result is [DP]999.3774[/DP].""","""The result is [DP]931.9537[/DP].""","""The result is [DP]394.3366[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]4.3281[/DP]."""
6,What is the average mood score of patients with Panic Disorder?,1.350541224549904,2.052326202392578,1.1269323825836182,0.0,0.0009996891021728516,"""The result is [DP]5.64[/DP].""","""The result is 5.82.""","""The result is 12.64.""","""The result is 10.49.""","""The result is 7.64.""","""The result is [DP]0.0002[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]38.9426[/DP].""","""The result is [DP]0.0144[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.1886[/DP]."""
7,What is the average treatment duration for Panic Disorder?,0.8617224173568258,1.6776297092437744,0.8234741687774658,0.0,0.0,"""The result is [DP]12.01[/DP].""","""The result is 14.02.""","""The result is 13.01.""","""The result is 12.35.""","""The result is 13.01.""","""The result is [DP]0.0063[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]32.0041[/DP].""","""The result is [DP]2.0446[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]10.1189[/DP]."""
8,What therapy types are used for treating Panic Disorder?,0.9145856197269706,2.4799907207489014,1.5324482917785645,0.0,0.0,"""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']""","""['Interpersonal Therapy' 'Cognitive Behavioral Therapy'\n 'Mindfulness-Based Therapy' 'Dialectical Behavioral Therapy']"""
9,What percentage of Panic Disorder patients showed improvement?,0.9181457884751146,2.5712780952453613,1.1674754619598389,0.0,0.000997781753540039,"""The result is [DP]47.41[/DP].""","""The result is 38.75.""","""The result is 47.41.""","""The result is 45.99.""","""The result is 56.41.""","""The result is [DP]996.7043[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]6.9848[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]22.8534[/DP]."""
